,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,H_ads [kJ/mol]
2601,515.398,0.221277,4.46154,5.0535,1.42496,49.9749,-3321.45263671875
2602,1002.21,0.51213,3.58342,4.15282,1.4374,19.9582,-3487.65234375
2603,311.601,0.215568,3.49675,4.18332,1.62589,10.9518,-3149.256591796875
2604,4034.3,0.78369,11.72717,13.20932,0.527901,912.907,-2915.306396484375
2605,4799.79,0.932277,18.96086,24.00417,0.223238,17237.2,-1583.1131591796875
2606,3984.98,0.823838,11.4404,17.51566,0.468571,3876.4,-2560.434814453125
2607,1004.89,0.462269,3.90894,5.70447,1.35016,143.056,-3141.211669921875
2608,620.853,0.276816,6.06601,8.37869,1.32517,280.663,-3102.8134765625
2609,1544.43,0.614136,5.07766,6.10897,1.06302,109.346,-3656.412353515625
2610,814.538,0.496473,4.69684,4.98448,1.37807,19.7766,-3990.588623046875
2611,1215.19,0.546605,5.22479,5.7185,1.30481,45.0338,-3397.4482421875
2612,2135.8,0.62915,7.70559,8.13236,0.886982,210.214,-3099.56494140625
2613,2192.98,0.646312,7.27904,8.02449,0.803839,272.691,-3248.159423828125
2614,2026.38,0.671781,5.45562,7.0801,1.17034,330.28,-3139.669921875
2615,3195.4,0.581279,4.92387,6.57178,0.786202,354.658,-2877.82080078125
2616,5531.5,0.825175,8.95579,11.9746,0.393457,3141.47,-2522.710693359375
2617,4995.82,0.84696,12.03691,14.26773,0.368707,3508.95,-2246.266845703125
2618,1012.52,0.385757,10.25712,10.82598,1.17362,235.087,-2997.952880859375
2619,3259.15,0.801819,14.33665,14.51897,0.501842,861.677,-2866.22021484375
2620,4534.6,0.758658,8.15883,9.45354,0.515827,1546.88,-2785.9560546875
2621,1018.98,0.372501,5.64097,7.44543,1.22443,119.298,-3407.2705078125
2622,1246.48,0.593841,5.03248,5.50286,1.17089,52.1467,-4319.408203125
2623,2492.41,0.695841,10.40959,11.67245,0.695204,480.147,-2945.109130859375
2624,853.951,0.38101,4.85902,5.42178,1.26315,94.2214,-3059.22119140625
2625,1337.09,0.465168,5.31495,5.81467,0.990022,106.44,-3646.53759765625
2626,1489.63,0.632681,3.99627,8.24248,1.23308,375.245,-3796.0419921875
2627,3366.96,0.80193,7.88658,16.20498,0.624415,5010.98,-2623.87744140625
2628,2617.47,0.678601,7.17048,8.80413,0.805301,1416.02,-2994.8447265625
2629,3572.57,0.697955,5.45579,7.95645,0.711918,408.83,-3039.656982421875
2630,1618.18,0.706163,20.3665,20.70132,0.757113,1327.89,-2194.123046875
2631,1657.59,0.562887,5.80272,6.76041,0.933931,138.335,-3709.760009765625
2632,2442.41,0.698718,10.68587,11.87943,0.698521,488.399,-2964.149658203125
2633,1676.73,0.533972,7.80991,8.95544,0.934196,899.951,-3203.807373046875
