,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,CO2 Uptake [g/g]
5021,1944.34,0.55735,4.97455,7.27245,0.939238,440.141,410.0616149902344
5022,260.281,0.225308,3.33005,4.52281,1.96021,26.8885,67.41728973388672
5023,2622.58,0.690592,9.80289,10.25595,0.690862,470.557,711.6143798828125
5024,459.744,0.24719,3.96923,4.80527,1.29763,24.0043,107.28951263427734
5025,1380.62,0.59614,20.84767,21.1525,0.75075,1179.55,443.3303527832031
5026,470.452,0.260468,3.63073,4.94555,1.70123,22.7442,104.04674530029297
5027,2733.84,0.673617,5.78272,9.52664,0.76172,1115.24,645.9608154296875
5028,3124.15,0.783144,8.06799,16.23141,0.672073,4749.61,830.2782592773438
5029,3105.36,0.666169,5.58563,7.79575,0.70159,923.724,667.1432495117188
5030,703.32,0.362089,5.88658,6.07674,1.36783,45.7101,144.24270629882812
5031,633.91,0.290258,4.5035,7.62686,1.31424,143.675,146.84054565429688
5032,3763.62,0.704358,5.87733,8.05655,0.650793,1172.83,759.6068115234375
5033,3232.79,0.768196,7.2105,15.19211,0.647541,4001.61,823.0670166015625
5034,1951.46,0.576616,6.67811,7.39759,1.00639,323.177,452.7544860839844
5035,2636.94,0.707105,11.79901,12.19849,0.598387,704.898,835.2808837890625
5036,535.91,0.304746,3.33865,5.3195,1.37332,34.687,132.6087188720703
5037,2313.39,0.617394,5.51537,7.30137,0.939193,137.969,449.36077880859375
5038,462.26,0.251751,3.7803,4.52383,1.48798,9.00926,106.57817077636719
5039,1887.53,0.604865,7.64423,7.92621,0.856323,253.949,519.7993774414062
5040,1617.0,0.532364,5.70658,8.39248,1.10863,786.287,340.1453552246094
5041,2730.61,0.655231,7.8533,8.39601,0.791276,392.231,657.8470458984375
5042,3531.37,0.691664,7.4701,10.29861,0.613624,895.217,791.36572265625
5043,1381.38,0.631613,10.10457,10.91082,1.14475,372.133,412.7156677246094
5044,676.785,0.331776,3.87793,5.11629,1.57575,23.4844,129.221435546875
5045,7109.4,0.969208,28.01314,28.73069,0.0870713,40918.5,3429.306640625
5046,6679.65,0.959927,25.1081,27.34674,0.108519,32694.2,3037.7060546875
5047,4543.55,0.817272,13.05535,17.81966,0.34892,3974.5,1499.74365234375
5048,738.202,0.310148,5.17238,5.94628,1.34625,37.904,155.45018005371094
5049,4072.92,0.658717,6.66285,9.03985,0.603493,526.46,733.1527709960938
5050,1489.3,0.509322,5.10149,6.25716,1.05911,173.208,306.1322021484375
5051,3350.23,0.730465,8.39315,14.06768,0.611814,1984.17,837.0729370117188
5052,4226.27,0.815227,9.19698,11.81298,0.507773,1245.57,1117.9808349609375
5053,432.357,0.262294,4.9659,7.24773,1.78722,60.8516,94.41978454589844
5054,2173.78,0.686629,8.35581,8.83853,0.936138,708.322,569.369384765625
5055,3991.17,0.826675,14.34374,18.21639,0.43653,5409.8,1251.876953125
5056,1672.99,0.63894,6.5004,7.49915,1.23638,261.999,397.65850830078125
5057,1462.42,0.482503,4.18269,5.64974,1.03391,197.102,295.3545227050781
5058,410.107,0.246603,3.62621,4.39335,1.38542,16.9703,118.2127685546875
5059,5014.54,0.85018,10.0493,13.67157,0.383701,2787.82,1532.8570556640625
5060,2241.89,0.602117,5.10462,7.35121,0.822973,566.377,484.1684875488281
5061,3178.19,0.768797,7.30139,15.24683,0.64739,4093.65,819.9950561523438
5062,1434.77,0.623158,4.22902,9.47769,0.934229,742.739,464.35845947265625
5063,1964.39,0.628502,9.54069,10.11212,0.838576,461.871,578.2914428710938
5064,2519.24,0.726455,9.79857,10.73332,0.747184,514.668,712.2872314453125
5065,5330.04,0.903258,13.42148,16.35647,0.27849,7855.74,1997.1263427734375
5066,1200.66,0.412143,5.12609,6.38223,1.1133,250.572,236.43138122558594
5067,4184.73,0.790245,9.02563,12.28108,0.528379,2916.56,1003.557861328125
5068,3130.01,0.650968,5.28486,7.35017,0.728958,731.351,628.9155883789062
5069,1262.71,0.47549,4.98674,6.56896,1.00897,341.557,281.53533935546875
5070,225.543,0.11069,5.68178,5.82858,1.4654,87.2918,35.3984489440918
5071,1313.78,0.407021,3.90099,5.75923,1.08842,63.5161,264.6816711425781
5072,1950.11,0.619166,5.83142,6.98153,0.897373,184.089,498.06231689453125
5073,1840.38,0.522471,4.75193,6.47972,1.02688,147.049,372.9198913574219
5074,314.881,0.19208,3.34934,4.03607,1.28351,4.4304,122.17826080322266
5075,2243.64,0.737607,7.79447,8.16346,0.80406,315.463,668.8602905273438
5076,2913.46,0.652867,6.26657,6.69496,0.813141,572.038,589.0657958984375
5077,698.657,0.352736,3.42773,5.56114,1.24308,28.9507,198.9705810546875
5078,3164.75,0.772546,7.8957,12.39202,0.70168,1215.27,809.8936157226562
5079,2576.2,0.769704,9.22774,10.6882,0.807727,4012.31,645.9568481445312
5080,3681.84,0.704618,6.80178,7.75533,0.665473,491.507,768.7972412109375
5081,1831.44,0.64725,22.96255,23.24538,0.603913,1333.66,611.4421997070312
5082,763.715,0.356961,4.31676,5.7617,1.42422,135.712,162.1680450439453
5083,587.325,0.324542,4.36179,4.87435,1.29933,29.8172,162.3905792236328
5084,3839.94,0.730765,7.21932,9.38639,0.645269,761.261,802.0745239257812
5085,1404.3,0.600831,21.74744,22.01347,0.729541,1216.39,430.523681640625
5086,1997.72,0.575582,11.18946,11.72914,0.828591,1036.85,458.41412353515625
5087,3449.54,0.818158,15.59844,17.21141,0.513717,2987.22,1080.006103515625
5088,1243.35,0.430484,4.72354,6.99609,1.08071,281.661,274.1313781738281
5089,3036.45,0.677926,7.86973,9.31489,0.641233,703.232,747.3001708984375
5090,1486.47,0.450964,4.72288,7.29256,0.968901,447.756,313.1787109375
5091,2767.2,0.632464,4.79045,6.96863,0.778645,571.754,558.89013671875
5092,3909.09,0.783783,7.91913,14.08186,0.601797,1842.08,956.5347290039062
5093,4064.93,0.816457,8.9722,12.09905,0.513824,1369.89,1145.6002197265625
5094,1866.38,0.459968,6.20048,6.67034,0.86163,111.576,336.7917175292969
5095,2614.41,0.696898,7.52611,8.03412,0.816586,344.071,675.3096923828125
5096,379.563,0.190802,3.79462,4.64482,1.47403,9.62589,91.4224853515625
5097,3003.63,0.791779,9.44084,13.04738,0.674628,3512.0,805.7969360351562
5098,738.241,0.438046,3.44879,6.52919,1.49003,117.047,193.2545928955078
5099,389.53,0.425429,3.31912,4.60777,1.22342,9.9534,265.2062072753906
5100,2935.29,0.686618,6.75036,10.24234,0.676462,2133.64,719.04541015625
5101,1393.45,0.611966,4.92794,5.44222,1.13443,68.3973,314.9842529296875
5102,1412.83,0.68013,12.31825,13.14573,1.20452,3047.79,372.13995361328125
5103,355.342,0.203791,3.71241,5.47469,1.34348,10.6204,92.75664520263672
5104,623.968,0.269203,4.30625,4.62098,1.31673,38.0103,134.76715087890625
5105,3967.25,0.76715,11.24262,12.92345,0.54514,3603.55,1003.1752319335938
5106,1812.41,0.554235,5.69685,7.79247,1.0606,294.552,364.6005859375
5107,3861.71,0.819133,11.20298,13.84104,0.486328,3128.93,1199.4144287109375
5108,654.688,0.347703,3.72527,4.85073,1.30801,20.5473,143.0858917236328
5109,1671.22,0.448023,4.88177,6.83261,0.911703,161.891,311.7109680175781
5110,769.252,0.257359,5.0298,5.94446,1.13837,84.4637,135.04441833496094
5111,4520.15,0.805683,8.79537,11.59952,0.470424,1545.53,1174.447021484375
5112,1680.32,0.508477,4.219,6.00742,0.979463,143.39,328.484130859375
5113,2099.44,0.61707,5.07778,6.15624,0.95753,233.888,451.3360595703125
5114,4255.39,0.843577,13.34252,20.48804,0.403482,5842.17,1365.4581298828125
5115,3558.75,0.734937,6.97145,12.92957,0.640183,1763.22,815.7854614257812
5116,1075.65,0.446779,4.8041,5.95534,1.19245,67.5979,264.23895263671875
5117,2088.79,0.560521,4.75987,7.8356,0.897706,521.316,442.1227722167969
5118,1266.12,0.447922,5.15876,8.76444,1.05376,975.065,294.3382873535156
5119,4822.51,0.818572,9.97922,12.89847,0.411641,3444.05,1357.3668212890625
5120,421.762,0.228795,4.36697,4.81309,1.34436,76.7444,89.39576721191406
5121,451.689,0.234953,3.87338,4.31645,1.54433,13.6487,126.49055480957031
5122,2460.18,0.597299,4.63015,6.88816,0.861106,357.314,486.50384521484375
5123,1238.32,0.41529,3.83417,4.99007,0.983625,38.4691,294.32122802734375
5124,1006.05,0.372157,8.33006,8.81103,1.1114,120.929,222.9196319580078
5125,4227.69,0.821949,13.22779,16.08391,0.388264,2772.6,1406.2950439453125
5126,211.63,0.232904,3.4167,4.08057,2.13177,5.75301,75.89129638671875
5127,907.343,0.292312,4.24344,6.76588,1.05713,205.612,170.38619995117188
5128,1514.38,0.541034,5.18197,6.05207,1.1317,109.203,314.9165344238281
5129,1176.5,0.545306,5.81146,6.31051,1.1842,61.827,245.76060485839844
5130,2775.52,0.68105,7.50291,8.72607,0.770559,519.074,622.4885864257812
5131,1026.46,0.382419,3.50175,5.57532,1.15165,203.621,226.1812744140625
5132,1050.88,0.482239,5.6342,6.41321,1.19266,79.2134,263.9770202636719
5133,5445.84,0.873624,12.06541,14.74244,0.314856,3108.63,1773.7738037109375
5134,403.833,0.235429,3.64728,4.40267,1.48059,7.9388,104.87757873535156
5135,1901.35,0.625738,9.44332,9.73915,0.932734,435.281,485.1769714355469
5136,2563.63,0.643195,6.45124,7.67105,0.825307,622.403,572.281982421875
5137,3107.75,0.788202,12.28213,12.59406,0.545278,809.802,1056.9266357421875
5138,3841.37,0.746874,9.72988,10.45277,0.58444,899.889,989.763916015625
5139,221.851,0.16672,3.60272,4.36997,1.54673,15.4937,75.39469146728516
5140,3032.31,0.735149,7.6847,9.08976,0.670172,493.505,770.0638427734375
5141,505.709,0.277043,4.59211,4.73085,1.35571,44.7299,138.63026428222656
5142,1982.61,0.506106,9.48893,10.09801,0.755989,760.411,439.6305236816406
5143,3076.95,0.769543,6.88268,15.22682,0.685009,4020.25,776.5465087890625
5144,281.828,0.194852,3.79306,5.64652,1.37431,57.2926,78.2859115600586
5145,3580.61,0.72708,9.14293,12.14787,0.556265,1165.96,895.9657592773438
5146,932.942,0.475381,5.21468,5.67203,1.20896,41.5528,231.60107421875
5147,4598.15,0.780546,6.37267,14.45037,0.498416,2776.06,1068.23828125
5148,1767.86,0.631276,7.68907,7.89527,0.913948,201.765,508.4107360839844
