Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.6281163136057268,0.5923894531168372
Voltage (V),0.0035967259045097248,0.0020249378074360656
Faradaic efficiency,0.35180059322709717,0.3180097298105275
CO conversion,0.007609134232668853,0.004613305202460219
Crossover rate,0.0020073122440704507,0.0010413076547835588
Capture energy (MJ/kgCO2),0.0012227046806116435,-2.5472781081322592e-05
Electricity price (USD/kWh),0.04455988005282357,0.04243835446561483
Membrane cost (USD/m2),0.0012517135298365154,-0.0014679483968030242
