Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0019193598257831474,0.0019997483164283366
Pd_C301,0.00016541796306923868,0.00023454710379971203
HX100,0.05667797379709467,0.05538598862918804
T_E110,0.9269783129136123,0.9256442328776726
L_R100,7.02834619935633e-05,8.718766531817347e-05
D_R100,1.1751965156979576e-05,3.850330427901333e-05
F_S220,0.001135755870917041,0.0011136835967281843
T_E120,4.639995691646849e-06,-1.6993092174705004e-05
P_V100,2.850125470515501e-06,8.96210052222851e-06
Pd_P150,0.0019446211610001085,0.001941372245018636
HX150,0.004717157500955163,0.0046195096476378365
HX220,0.0017699957913974364,0.0015846983484671
T_E220,0.0018415494551464028,0.0019028267912699049
Rr_D200,0.0015308563706501863,0.0014808383192004186
Pc_D200,0.00266725191032132,0.0027532071528023577
F_S220.1,3.0901633737389936e-06,-2.435567998444991e-05
