Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.011912133335575656,0.002626802891094752
Pd_C301,0.05644308263480922,0.019255904594492456
HX100,0.06673062502236687,-0.003662421081338464
T_E110,0.10125691181980774,-0.004439908933255806
L_R100,0.01479995216700155,0.0014692504021457315
D_R100,0.010992248969353724,0.0011312397891901842
F_S220,0.02902889215432935,-0.008390059806742447
T_E120,0.07848090786060362,0.02096705985279557
P_V100,8.361846790905112e-10,-2.177625148214006e-06
Pd_P150,0.8568967572068117,0.14549322612218496
HX150,0.7104779660138947,0.09215380950142593
HX220,0.00031132639581356314,0.0008761979695535578
T_E220,0.01292648711405302,0.003585694513713709
Rr_D200,0.05535906484012978,0.028364953411425062
Pc_D200,0.015792253033182695,0.009931052951957056
F_S220.1,3.2592094850355147e-10,-1.1829218041650046e-06
