,Unnamed: 0,Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
Unnamed: 0,0.0,-0.0010060685721921783,-0.0004996138102221811,-0.0011382094976751145,-0.0009885417555695292,-0.0011562510293035607,-0.0010398921028433095
Acc. Surface Area [m^2/g],-0.0010060685721921783,0.0,0.009129045171574385,-0.013036705146146108,-0.07194802681099721,-0.012598716845081629,-0.12437088953792312
Void Fraction,-0.0004996138102221811,0.009129045171574385,0.0,-0.01378155753646244,-0.001952275978475331,0.010373932022614642,0.03884986780140419
PLD,-0.0011382094976751145,-0.013036705146146108,-0.01378155753646244,0.0,-0.03420344824380923,-0.003455574268804085,-0.020185428720391405
LCD,-0.0009885417555695292,-0.07194802681099721,-0.001952275978475331,-0.03420344824380923,0.0,-0.010514101753334058,-0.11379885051932663
Density,-0.0011562510293035607,-0.012598716845081629,0.010373932022614642,-0.003455574268804085,-0.010514101753334058,0.0,-0.00994633808526612
Channel Volume,-0.0010398921028433095,-0.12437088953792312,0.03884986780140419,-0.020185428720391405,-0.11379885051932663,-0.00994633808526612,0.0
