Feature,Global_Attribution_Score
CO conversion,0.61299163
Faradaic efficiency,0.580719
Voltage (V),0.45659226
Capture energy (MJ/kgCO2),0.26060754
Crossover rate,0.0076522883
Membrane cost (USD/m2),0.0064180978
Electricity price (USD/kWh),0.004087612
Current density (A/cm2),0.0027706742
