Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.014898912297036031,0.005227479803824673
Pd_C301,0.046904897065880816,-0.00027027948264965137
HX100,0.0698756572771638,9.829996745568e-05
T_E110,0.0884090505904803,0.0005360860053877388
L_R100,0.010316866812454847,0.0061673332744588355
D_R100,0.008109690831692532,-0.0015428916914290661
F_S220,0.021733206175863155,-0.0007860091506962598
T_E120,0.05126623787411053,-0.0006322834772980528
P_V100,1.6581959670680326e-06,-1.4975431564906505e-05
Pd_P150,1.0256668153824233,0.21205124499392203
HX150,0.6171820679233236,0.06728076494099039
HX220,0.00025822288595071433,0.0009792451330152426
T_E220,0.00995641176536946,-2.5082507997691958e-05
Rr_D200,0.04350458198011246,0.0015999797535904364
Pc_D200,0.013338275744810987,-0.0006755839041333137
F_S220.1,1.638382828271765e-06,4.283945408006843e-05
