Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1
0.0,-0.0003769210799995648,-0.0014261864361398543,0.23609124189376038,0.0,0.0009582754812829329,0.0,0.0,0.0,-0.004029519143400485,-0.002314990619890929,-0.01051692643300415,0.0,0.007904248147631743,0.018072213360689208,0.0
0.0,-0.00035631516787287717,-0.0015145302181104393,-0.0797993546704444,0.0,0.0,-0.00017937764489402153,0.0,0.0,0.023641915113050953,-0.0023160206184940383,-0.0003413160687072852,0.0,-0.00045585623201225065,-0.0010994129421779625,0.0
0.0,0.008501827733474307,-0.0015598157946424475,-0.07990969073476738,0.0,-6.191476476775926e-05,-0.0001829077411781724,0.0,0.0,-0.004012956927888487,-0.0023095786604189154,-0.00035124266124777597,0.0,-0.00045469518314754826,-0.001091989407632232,0.0
0.0,-0.00030752823489153624,-0.0014093939462197509,-0.08794148346136137,0.0,0.0,-0.00011016790646953267,0.0,0.0,-0.002850812776717964,-0.0017955375815852375,-0.00022710778328577144,-0.009329879560821198,-0.00034029635402496003,-0.0008174281982997843,0.0
0.0,-0.0003462606112496937,-0.001547813443721102,-0.07988038413997636,0.0,-5.775942912437937e-05,-0.00017677038549326484,0.0,0.0,0.010810702836123058,-0.0023080280251916883,-0.00034341363326518697,0.0,-0.0004506774025391871,-0.0010949162319118721,0.0
0.0,-0.00034983262148067086,-0.0014446250207853033,0.4518934274127804,0.0,-6.120181857266482e-05,-0.00017218312466575782,0.0,0.0,-0.004019164407253472,-0.0023158502010373226,-0.0003211377727555027,0.0,-0.00045157899901608796,-0.0010946900074159235,0.0
0.0,-0.0003914590428167371,-0.001614001275327367,-0.08000346000510818,0.0,-7.192413534813646e-05,-0.00019483170040722155,0.0,0.0,-0.004010719889073841,-0.0023116236961717314,-0.0004657220045334759,0.0,-0.0004630188097470327,-0.0010918826780094975,0.0
0.0,-0.0003501375934891113,-0.0014434371396127566,0.1943351613918618,0.0,-5.751730265349253e-05,-0.00017363807275954524,0.0,0.0,-0.0040198491806207205,-0.0023117211824346,-0.0003208187325342443,0.0,-0.0004571346251889454,-0.001097298693936727,0.0
0.0,-0.00034076752265970665,-0.001407205191017138,0.4598671729289201,0.0,0.0,-0.0001684308109560898,0.0,0.0,-0.003991508216005772,-0.00231241196733142,-0.00029891657121383034,0.0,-0.00014666650587219499,0.03090548149571811,0.0
0.0,-0.00024715186578225473,-0.0011220961909621176,-0.111834487858225,0.0,-6.507300118277493e-05,-0.0001255693991643281,0.0,0.0,-0.0028920487156260935,-0.0016984700858148022,-0.00025443010052520094,0.0,-0.0003208128148076073,-0.0008012204102364706,0.0
0.0,-0.0003511250288867017,-0.0015180111363959654,-0.07982091955168807,0.0,0.0,-0.00018390666266697442,0.0,0.0,0.020425952595574077,-0.0023182199957603937,-0.00034483144024031136,0.0,-0.0004541700653683461,-0.0010988001684015414,0.0
0.0,-0.0003506332330926339,-0.0015349930726693743,-0.07422519726583172,0.0,0.0,-0.00018487134150517448,0.0,0.0,-0.004024863364161589,-0.002315507283062167,0.015363976535854269,0.0,-0.00045431845995202357,-0.0011022180596466505,0.0
0.0,-0.0003445900804605381,-0.0014437544656019142,0.11821411656737736,0.0,0.0008946525504514382,-0.00017950803724818554,0.0,0.0,-0.004022309969472117,-0.002311317519134537,-0.0003204728551749254,0.0,-0.00045146310471495815,-0.0010963570957811682,0.0
0.0,0.0,-0.0015308075800194924,-0.07901694785952765,0.0,0.0,0.0,0.0,0.0,0.020212533485808707,0.005545608680792251,-0.00034608007097307325,0.00040445649290974826,-0.00048634077124236737,0.001268800257448169,0.0
0.0,-0.0003559629098135924,-0.0015684749890932377,-0.07993196190016112,0.0,-6.411577115583711e-05,-0.0001829143095919658,0.0,0.0,0.0044383348334814865,-0.0023137131825196975,-0.000360719708831623,0.0,-0.0004512988158541446,-0.0010920197211535213,0.0
0.0,-0.00035701723611762377,-0.0015657459609890547,-0.07991383893748978,0.0,-6.097008914104918e-05,-0.000186413294288177,0.0,0.0,-0.004015484839764877,-0.002305090494617202,0.01018600724890734,0.0,-0.00045167495980780604,-0.0010890040562671318,0.0
