Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.0017832834129979812,0.0016756314321879522
Pd_C301,0.0007778922370136179,0.0006902028822418839
HX100,0.060960464315943236,0.060565281805542784
T_E110,0.9219227249868062,0.9196330053034544
L_R100,1.1526023172129511e-05,2.5205918431288814e-06
D_R100,6.02948821034905e-06,2.369127889524532e-05
F_S220,0.0006929036775909575,0.0005161440020290882
T_E120,8.37288258109828e-06,7.393053452474187e-06
P_V100,1.0526586047129735e-08,-4.39193830209514e-06
Pd_P150,0.0016329202211587408,0.0013090033825407434
HX150,0.00465962186505865,0.0006796765074592172
HX220,0.002543920144170151,0.002435221888096014
T_E220,0.002213662678968115,0.00227539472821006
Rr_D200,0.0007168867389561053,0.0006687973087796319
Pc_D200,0.002777928140667378,0.002756825348108444
F_S220.1,1.5778846834205512e-08,-3.2531923752182787e-06
