Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.012015104666662136,0.01240013092834927
Pd_C301,0.004442303910400488,0.005210068488758545
HX100,0.12837522593456205,0.12700456329575802
T_E110,0.7705612199063857,0.7699039708286392
L_R100,0.0005019272887120049,0.001048321831732706
D_R100,0.0009200580359229863,0.000986831494072538
F_S220,0.005440744278240129,0.004673246968868513
T_E120,0.008607711566541724,0.009004421648104567
P_V100,0.018075477292906168,0.018254659930153586
Pd_P150,0.00196131061783743,0.0022157081713048174
HX150,0.0018087175928316681,0.00220408323688685
HX220,0.003457389922881115,0.003003524153789564
T_E220,0.024961338903003765,0.02468042844750402
Rr_D200,0.006582630250617616,0.007489133015263916
Pc_D200,0.018255575425607927,0.016656108509096237
F_S220.1,0.002530750306513471,0.002088928149471907
