Feature,Global_Attribution_Score
Faradaic efficiency,0.77208865
Voltage (V),0.6188229
Capture energy (MJ/kgCO2),0.018530373
CO conversion,0.013322088
Membrane cost (USD/m2),0.0030762632
Current density (A/cm2),0.0014306976
Electricity price (USD/kWh),0.0004066403
Crossover rate,0.00011525072
