Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume
-0.3537680197293719,0.05936145531013616,0.31138870897702897,-0.11111180381461364,0.03600778712425387,0.019588099324998207
0.11217803628145101,0.05936137940540597,0.3113887095823886,-0.111111826170236,0.036007837908497625,0.01958816848540057
-0.35376810163143113,0.15450222385309956,0.31138871603955853,-0.1111118042608724,0.03600784709172634,0.019588160881539758
-0.3537680467222044,0.05936144946802725,0.20317015037483863,-0.11111179922396947,0.03600780602816189,0.019588116585509963
-0.3537680201542877,0.05936145417120625,0.31138870842405614,-0.07606760920025413,0.036007787294996325,0.019588099924537077
-0.3537680070633848,0.05936146442933635,0.3113887088353904,-0.1111117920799492,0.049232881747108645,0.019588109511338755
-0.3537680193840063,0.059361455820423306,0.31138870866464785,-0.11111180265240066,0.03600778602412909,-0.02405370692916528
0.11217807871095535,0.15450226003110099,0.20317017149645844,-0.07606759553697591,0.04923289769018686,-0.024053657388625138
0.048903502595688625,-0.22162627982907007,-0.20918758783567087,0.11177115465203935,-0.07313307348910414,-0.013043116079643369
-0.20588763933240753,-0.22162635458516902,-0.2091875551443082,0.11177120539553795,-0.07313305133720861,-0.013043085933895804
0.04890345336946976,-0.11086618591798475,-0.20918753905183032,0.11177119040900545,-0.0731330900123188,-0.013043136046811232
0.048903487242447995,-0.22162628681592966,-0.23975064532520882,0.11177119946417717,-0.0731331148456472,-0.013043155779208282
0.048903491097735355,-0.22162628470687218,-0.20918753987255828,0.09764561626749746,-0.07313311256196657,-0.01304315576562648
0.04890350273150646,-0.22162627993190362,-0.20918758791716158,0.11177115483054283,0.010340847325278457,-0.01304311620187949
0.04890350232017237,-0.22162627640839977,-0.2091875804724018,0.11177115350340816,-0.07313307288956526,0.025458792276913278
-0.20588761839705216,-0.11086620643424501,-0.2397506727138535,0.09764559042911677,0.01034085266680157,0.0254588037554641
0.15114233826558737,0.18521795649430722,-0.007614274924465841,0.11359365984487044,0.0010900687387522812,0.0282887160933265
0.19069025826368807,0.18521795801546745,-0.007614274660591066,0.1135936586186289,0.0010900678345932002,0.0282887166676422
0.15114237956392282,-0.26028177997019786,-0.007614293614945686,0.1135936556888435,0.0010900696157477296,0.028288715039767973
0.1511423335333045,0.1852179314941169,-0.0860823652454808,0.11359366107499229,0.0010900650988331928,0.02828875422128472
0.15114234079762057,0.1852179556502962,-0.007614278867064699,-0.15424434096009176,0.001090078366299485,0.028288708274097497
0.15114234024270756,0.1852179374895059,-0.007614306950320837,0.11359365735164226,-0.056418147203900586,0.0282887533733931
0.15114234980622623,0.1852179652448589,-0.0076142554404214895,0.1135936747208083,0.0010900901649923411,-0.020202957159684384
0.1906903006718496,-0.2602817813904648,-0.08608238025141572,-0.1542443446155327,-0.05641814578363363,-0.020202954656754812
-0.11141976407379842,-0.07549910511200632,-0.24669445494073453,-0.11639679440607635,0.04814964325438886,-0.031337668542982956
-0.01274471356106599,-0.07549912759956595,-0.24669443991927756,-0.1163967835581086,0.048149651717782696,-0.03133765870782849
-0.11141977823572238,0.02656479978274251,-0.24669445035397092,-0.116396794396375,0.04814964222217301,-0.031337668568206314
-0.11141974741282577,-0.07549911038368018,0.5610846055962616,-0.11639681000184904,0.04814963298073657,-0.03133770048928766
-0.11141976338888836,-0.07549910313488611,-0.24669445271526164,0.12460337654726286,0.048149643260209596,-0.03133766891357177
-0.11141976562406247,-0.07549910478216287,-0.24669446116119317,-0.1163967958147017,0.039434737801396724,-0.031337668562385484
-0.11141976408738026,-0.07549910512558804,-0.2466944549543163,-0.11639679439249453,0.04814964326797061,0.02362746990596265
-0.01274465463939134,0.026564849909239557,0.5610845936792132,0.12460335738530072,0.039434732407486656,0.023627417206686475
-0.022566320533709026,0.2452862731316905,-0.12679651414121823,0.025069344765506683,0.043768457701662565,-0.0029502127824041213
0.15608002130563067,0.24528630036123422,-0.12679648589886117,0.025069361354689998,0.0437684101615256,-0.0029502530776275293
-0.022566333624611898,-0.18387811858168193,-0.12679650451949181,0.02506933553377172,0.043768470868235536,-0.0029502311721443797
-0.022566332487622322,0.24528631984527866,-0.18296040180915357,0.02506933650389934,0.04376845016959124,-0.0029502511315513957
-0.022566318653601564,0.2452862771732424,-0.12679651061383396,-0.0012487229076214301,0.04376846147351898,-0.0029502316028811367
-0.022566334094153748,0.2452862850467987,-0.1267965119642517,0.025069337551637243,-0.10231761347386062,-0.002950231688252338
-0.022566338091079823,0.24528626996325348,-0.12679653262797133,0.02506933073940066,0.04376844473881647,0.003478214358134807
0.15608000479405762,-0.18387808146265658,-0.1829604061087594,-0.0012487307443128093,-0.10231762752518998,0.0034781886769149053
0.18680528498371127,-0.006821618760780801,0.4924829779231615,0.02866776274944029,-0.031051005976041924,0.01237539142797068
-0.09925611160191095,-0.006821666312559149,0.49248302107444053,0.028667798164921536,-0.031050967498837727,0.012375431595137234
0.18680519307963547,0.09159821682066341,0.49248301957656354,0.0286678028894432,-0.031050966406473868,0.012375431096491673
0.18680528499535287,-0.006821618557053988,0.3785651504838221,0.028667762437059204,-0.031051006232155596,0.012375391614235289
0.18680528482655076,-0.0068216187646613635,0.49248297757779597,0.05198796148955189,-0.031051006107979257,0.012375391385285067
0.18680528423283255,-0.00682161900137257,0.492482977244072,0.028667762731978026,0.028508102379661497,0.012375391587071814
0.1868052849798308,-0.0068216187646613635,0.4924829779192809,0.02866776275332086,-0.031051005972161535,0.006704009481472826
-0.09925612526906975,0.09159824726715059,0.37856519087411805,0.05198800150537854,0.02850814126043892,0.006704049821322
0.10593055482604548,0.12330350844034317,-0.24995125629745138,0.14152917915101487,-0.11989922531065539,0.030900656286394212
0.05676435311906976,0.12330350888466164,-0.24995125852874497,0.14152917980682114,-0.1198992255008004,0.03090065676951778
0.10593055691376026,0.2154727900808213,-0.24995125410884328,0.14152917923250558,-0.11989922724509001,0.030900657043093763
0.10593055837477253,0.12330352124602854,0.04519687971333044,0.1415291804490456,-0.11989922377397319,0.030900635318054426
0.10593055467470557,0.12330350858004153,-0.24995125621596062,0.13995132513421912,-0.11989922552020298,0.0309006562863942
0.10593055254236494,0.12330350006038021,-0.24995124906417937,0.14152917408694826,0.04571584628623291,0.030900674971053393
0.10593055482604548,0.12330350844034317,-0.24995125629745138,0.14152917915101487,-0.11989922531065539,0.03158730179420671
0.05676436023010565,0.21547280559510298,0.04519688847164308,0.13995132362081986,0.04571584845931893,0.0315872803640862
-0.22078858908886723,-0.14697627671412192,0.1413623169510783,-0.3022281427440856,0.022698334561816247,-0.05880218710517511
-0.3357557641788545,-0.1469762435047112,0.1413622944751601,-0.30222816533447866,0.022698314445248613,-0.05880220702383659
-0.2207885886561902,-0.040830894322910635,0.1413623167706345,-0.3022281432388508,0.022698334470624137,-0.05880218723517221
-0.22078855889655338,-0.1469762450607959,-0.25311924972532657,-0.3022281757148448,0.022698362431644248,-0.05880215729509166
-0.22078856905573055,-0.14697625683620577,0.14136228462836412,-0.357493020828891,0.02269835458137104,-0.05880216721755771
-0.22078858907916596,-0.14697627753679024,0.14136231542991806,-0.30222814384809116,-0.017708485226224258,-0.05880218703726605
-0.22078858908886717,-0.14697627671412192,0.14136231695107815,-0.30222814274408566,0.022698334561816247,-0.0524002906284294
-0.33575577586501254,-0.04083087294711723,-0.25311924686150944,-0.35749301301160225,-0.01770851665448059,-0.05240032045597502
-0.163341964177865,0.15450222814494452,-0.25387467382436946,0.0781541912156779,-0.05106621617451313,-0.04561953767940094
0.1744220119183109,0.15450225033370482,-0.25387467679490056,0.07815418255437792,-0.05106622680323203,-0.045619548573934826
-0.16334192020197721,-0.14697622375679212,-0.2538746821286624,0.07815418201110647,-0.05106622664219061,-0.04561954730694794
-0.16334196353952093,0.15450222833120902,-0.21663297807875415,0.07815419131075035,-0.05106621557303396,-0.04561953763477504
-0.16334196425159467,0.15450222809449787,-0.25387467399705227,0.0953732583341966,-0.05106621634137505,-0.045619537714325475
-0.16334196322519964,0.15450222697885102,-0.25387466776107154,0.07815419062001955,-0.035828532691812104,-0.04561953739806388
-0.16334196630050435,0.1545022295787932,-0.25387468320744444,0.07815419183849985,-0.05106621714464077,-0.03856287376062634
0.1744220468390269,-0.14697621401282968,-0.21663300400444638,0.09537323324087396,-0.03582856587793981,-0.03856290223581408
0.12986301362980165,-0.11086625127742698,0.06366084467153996,-0.039009480263727414,0.04042781590251254,0.03137638091187305
-0.05368335354529944,-0.1108662181786107,0.06366080737595144,-0.039009493535074116,0.040427855584615265,0.031376421170231567
0.1298629811227633,0.12330345873876161,0.06366082413781746,-0.039009494299534764,0.04042785649071444,0.03137641898744432
0.1298629934123407,-0.11086623507435452,0.2893167404962396,-0.039009494619676954,0.04042783331436415,0.0313763993986261
0.12986301317578194,-0.11086625125802442,0.06366084437856145,-0.07119408004994822,0.04042781562117549,0.031376380876948426
0.12986301364144323,-0.11086625130071008,0.06366084468318152,-0.03900948025208592,0.043020141089800755,0.03137638092351457
0.12986302331749672,-0.11086623063893068,0.06366085745200208,-0.03900946248128703,0.04042782329100496,0.03027124252015103
-0.053683324489975474,0.12330353423215767,0.2893167438645229,-0.07119407368397039,0.04302017572917974,0.030271252442616914
0.201664228566612,0.02656485823099506,-0.17294780334147328,-0.2005247283009038,0.049543533181228415,0.0005133545084390623
0.0860633234862084,0.02656477838948684,-0.17294776399309444,-0.2005246876797175,0.049543573872263914,0.0005133944136712365
0.20166421612957502,0.2452863408058574,-0.17294776278819596,-0.20052468979071533,0.04954357359092687,0.0005133930865364456
0.20166422783125523,0.026564858277561137,-0.024303597367058227,-0.2005247264499002,0.04954353521267575,0.0005133542484448556
