Region_Index,Region_Label,x0_Acc. Surface Area [m^2/g],x1_Void Fraction,x2_PLD,x3_LCD,x4_Density,x5_Channel Volume
0,0.10<x2<0.15 & 0.10<x0<0.28,3.9064462,2.3522305,0.21855024,1.9712288,0.8394725,0.38033992
1,0.10<x2<0.15 & 0.28<x0<0.90,2.2001386,2.5056837,0.21523336,2.2124317,0.8333446,0.4813124
2,0.15<x2<0.90 & 0.10<x0<0.28,2.947535,1.7470515,3.1107328,1.5908976,0.5912532,0.3352831
3,0.15<x2<0.90 & 0.28<x0<0.90,1.5181227,1.7380117,3.1147783,1.5408809,0.58888435,0.3403274
