Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Y
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.735595703125,0.79530084
0.926513671875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.735595703125,1.3696822
0.000732421875,0.422607421875,0.734130859375,0.746826171875,0.319580078125,0.735595703125,0.7391194
0.000732421875,0.313720703125,0.856201171875,0.746826171875,0.319580078125,0.735595703125,0.9656533
0.000732421875,0.313720703125,0.734130859375,0.301513671875,0.319580078125,0.735595703125,0.89479005
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.931396484375,0.735595703125,0.8621422
0.000732421875,0.313720703125,0.734130859375,0.746826171875,0.319580078125,0.691162109375,0.79941374
0.926513671875,0.422607421875,0.856201171875,0.301513671875,0.931396484375,0.691162109375,1.6542962
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.5839822
0.426513671875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.54179645
0.500732421875,0.922607421875,0.234130859375,0.246826171875,0.819580078125,0.235595703125,0.5181849
0.500732421875,0.813720703125,0.356201171875,0.246826171875,0.819580078125,0.235595703125,0.6363013
0.500732421875,0.813720703125,0.234130859375,0.801513671875,0.819580078125,0.235595703125,0.46097136
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.431396484375,0.235595703125,0.54604053
0.500732421875,0.813720703125,0.234130859375,0.246826171875,0.819580078125,0.191162109375,0.57363206
0.426513671875,0.922607421875,0.356201171875,0.801513671875,0.431396484375,0.191162109375,0.35701567
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.485595703125,1.4863645
0.676513671875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.485595703125,1.4596912
0.750732421875,0.672607421875,0.984130859375,0.996826171875,0.569580078125,0.485595703125,1.1711534
0.750732421875,0.063720703125,0.106201171875,0.996826171875,0.569580078125,0.485595703125,0.68487823
0.750732421875,0.063720703125,0.984130859375,0.551513671875,0.569580078125,0.485595703125,1.9793328
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.181396484375,0.485595703125,1.396654
0.750732421875,0.063720703125,0.984130859375,0.996826171875,0.569580078125,0.441162109375,1.4807081
0.676513671875,0.672607421875,0.106201171875,0.551513671875,0.181396484375,0.441162109375,0.7405954
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.6428352
0.176513671875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.578229
0.250732421875,0.172607421875,0.484130859375,0.496826171875,0.069580078125,0.985595703125,0.84489876
0.250732421875,0.563720703125,0.606201171875,0.496826171875,0.069580078125,0.985595703125,0.76873547
0.250732421875,0.563720703125,0.484130859375,0.051513671875,0.069580078125,0.985595703125,0.33889633
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.681396484375,0.985595703125,0.7839193
0.250732421875,0.563720703125,0.484130859375,0.496826171875,0.069580078125,0.941162109375,0.6530268
0.176513671875,0.172607421875,0.606201171875,0.051513671875,0.681396484375,0.941162109375,0.75352967
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.8569323
0.551513671875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.95712674
0.375732421875,0.547607421875,0.109130859375,0.371826171875,0.194580078125,0.610595703125,0.6715597
0.375732421875,0.188720703125,0.231201171875,0.371826171875,0.194580078125,0.610595703125,0.8666953
0.375732421875,0.188720703125,0.109130859375,0.926513671875,0.194580078125,0.610595703125,0.48600113
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.056396484375,0.610595703125,0.8060411
0.375732421875,0.188720703125,0.109130859375,0.371826171875,0.194580078125,0.816162109375,0.83839846
0.551513671875,0.547607421875,0.231201171875,0.926513671875,0.056396484375,0.816162109375,0.34116077
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.110595703125,0.8266585
0.051513671875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.110595703125,0.32401764
0.875732421875,0.047607421875,0.609130859375,0.871826171875,0.694580078125,0.110595703125,1.1586778
0.875732421875,0.688720703125,0.731201171875,0.871826171875,0.694580078125,0.110595703125,0.97926307
0.875732421875,0.688720703125,0.609130859375,0.426513671875,0.694580078125,0.110595703125,1.1266611
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.556396484375,0.110595703125,0.81416845
0.875732421875,0.688720703125,0.609130859375,0.871826171875,0.694580078125,0.316162109375,0.87329894
0.051513671875,0.047607421875,0.731201171875,0.426513671875,0.556396484375,0.316162109375,1.1427946
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.8111357
0.801513671875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.87452406
0.625732421875,0.297607421875,0.359130859375,0.121826171875,0.944580078125,0.360595703125,0.88395065
0.625732421875,0.438720703125,0.981201171875,0.121826171875,0.944580078125,0.360595703125,1.544044
0.625732421875,0.438720703125,0.359130859375,0.176513671875,0.944580078125,0.360595703125,0.87294286
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.806396484375,0.360595703125,0.8070989
0.625732421875,0.438720703125,0.359130859375,0.121826171875,0.944580078125,0.066162109375,0.7462641
0.801513671875,0.297607421875,0.981201171875,0.176513671875,0.806396484375,0.066162109375,1.6731461
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.860595703125,0.86763465
0.301513671875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.860595703125,1.0209473
0.125732421875,0.797607421875,0.859130859375,0.621826171875,0.444580078125,0.860595703125,0.95291746
0.125732421875,0.938720703125,0.481201171875,0.621826171875,0.444580078125,0.860595703125,0.40462887
0.125732421875,0.938720703125,0.859130859375,0.676513671875,0.444580078125,0.860595703125,0.830304
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.306396484375,0.860595703125,0.83591664
0.125732421875,0.938720703125,0.859130859375,0.621826171875,0.444580078125,0.566162109375,0.89341307
0.301513671875,0.797607421875,0.481201171875,0.676513671875,0.306396484375,0.566162109375,0.5999541
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.6900957
0.614013671875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.9651571
0.188232421875,0.610107421875,0.296630859375,0.809326171875,0.757080078125,0.923095703125,0.38015682
0.188232421875,0.001220703125,0.168701171875,0.809326171875,0.757080078125,0.923095703125,0.6573308
0.188232421875,0.001220703125,0.296630859375,0.114013671875,0.757080078125,0.923095703125,0.6869939
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.368896484375,0.923095703125,0.64160126
0.188232421875,0.001220703125,0.296630859375,0.809326171875,0.757080078125,0.628662109375,0.72963184
0.614013671875,0.610107421875,0.168701171875,0.114013671875,0.368896484375,0.628662109375,0.6103931
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.423095703125,1.3629596
0.114013671875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.423095703125,0.9865405
0.688232421875,0.110107421875,0.796630859375,0.309326171875,0.257080078125,0.423095703125,1.5616696
0.688232421875,0.501220703125,0.668701171875,0.309326171875,0.257080078125,0.423095703125,1.1925135
0.688232421875,0.501220703125,0.796630859375,0.614013671875,0.257080078125,0.423095703125,1.3643556
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.868896484375,0.423095703125,1.4463484
0.688232421875,0.501220703125,0.796630859375,0.309326171875,0.257080078125,0.128662109375,1.300144
