Region_Index,Region_Label,x0_x1,x1_x2,x2_x3,x3_x4,x4_x5,x5_x6,x6_x8,x7_x10,x8_x11,x9_x12,x10_x13,x11_x14,x12_x15
0,0.10<x3<0.21 & 0.10<x12<0.89,0.085796334,1.1938926,0.0013331233,53.656223,0.0,0.0,0.0,0.1638438,0.067865804,0.0,0.4425407,0.0,4.6125393
1,0.10<x3<0.21 & 0.89<x12<0.90,0.12336786,3.7083733,0.013810043,82.76756,0.0,0.0,0.0,0.2694408,0.026867667,0.0,1.1015954,0.0,3.1694252
2,0.21<x3<0.37 & 0.10<x12<0.89,0.011444748,0.20899163,9.0381945e-05,13.074872,0.0,0.0,0.0,0.053569034,0.00783039,0.0,0.08475237,0.0,0.61967915
3,0.21<x3<0.37 & 0.89<x12<0.90,0.029382046,0.96717614,0.00017627432,17.927261,0.0,0.0,0.0,0.09276589,0.0084203705,0.0,0.15580967,0.0,0.6735239
4,0.37<x3<0.90 & 0.10<x12<0.89,0.010155516,0.34011433,0.00015645259,8.220073,0.0,0.0,0.0,0.035173796,0.0055348836,0.0,0.15199454,0.0,0.769468
5,0.37<x3<0.90 & 0.89<x12<0.90,0.008169135,0.21810433,4.8473557e-05,5.6943383,0.0,0.0,0.0,0.020690681,0.0026173976,0.0,0.07245855,0.0,0.21391402
