Feature,Global_Attribution_Score
CO conversion,0.82748884
Faradaic efficiency,0.36054304
Voltage (V),0.31281927
Capture energy (MJ/kgCO2),0.28063783
Electricity price (USD/kWh),0.03892319
Crossover rate,0.02442093
Membrane cost (USD/m2),0.015170212
Current density (A/cm2),0.00817833
