Feature,Mean_Abs_SHAP
Current density (A/cm2),0.0011933124743826362
Voltage (V),0.6419169489379999
Faradaic efficiency,0.87737551713571
CO conversion,0.25175421868007386
Crossover rate,0.00118836248454737
Capture energy (MJ/kgCO2),0.1849926479827793
Electricity price (USD/kWh),0.0018513586098121832
Membrane cost (USD/m2),0.0013306843641099813
