Feature,Global_Attribution_Score
CO conversion,0.7215781
Crossover rate,0.58741605
Capture energy (MJ/kgCO2),0.34180218
Current density (A/cm2),0.014328901
Membrane cost (USD/m2),0.0081877615
Faradaic efficiency,0.0005025385
Electricity price (USD/kWh),0.00033954522
Voltage (V),0.0
