,name,model,R2,num_params,num_features,num_datapoints
0,AgNP,NN,0.9411268554585435,3009,6,3295
1,AgNP,KAN,0.8123288984058297,70,6,3295
2,CO2RRLCA,NN,0.982546862699977,1281,9,3677
3,CO2RRLCA,KAN,0.9650413478277015,72,9,3677
4,CO2RRNPV,NN,0.9948741351527016,4801,9,3677
5,CO2RRNPV,KAN,0.9712024719286749,112,9,3677
6,CO2RRMSP,NN,0.9891710693338651,9473,9,3677
7,CO2RRMSP,KAN,0.9151583113572322,112,9,3677
8,CO2HPx10,NN,0.834993127657715,3713,17,6949
9,CO2HPx10,KAN,0.8589839019477519,144,17,6949
10,CO2HEx10,NN,0.974814171906714,2305,17,6949
11,CO2HEx10,KAN,0.8838027322244772,144,17,6949
12,ITH4500,NN,0.9803545615267188,1153,8,5394
13,ITH4500,KAN,0.8324393870495275,63,8,5394
14,ITHH4500,NN,0.7367630155953704,1153,8,5394
15,ITHH4500,KAN,0.7583205852532368,63,8,5394
