Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.001478379278605156,0.0015509334704192199
Pd_C301,0.04154624304134341,0.041543703403454084
HX100,0.6028907454913773,0.6026107219530782
T_E110,0.00018101967499280577,0.00019604455753863408
L_R100,0.027050876446996025,0.027069107349829164
D_R100,0.2775183127824207,0.27681892094231925
F_S220,0.004070316327706481,0.003965408135875402
T_E120,4.92584599025526e-06,2.6993693695941797e-06
P_V100,2.916379219042185e-05,2.729328604407341e-05
Pd_P150,6.33611449429295e-05,5.8525225478501504e-05
HX150,0.0003235575047011922,0.00034813759836551566
HX220,0.022315106001360437,0.02241940023466328
T_E220,0.01066004398583844,0.01067482846738196
Rr_D200,0.002487682367066834,0.002489907459895565
Pc_D200,0.009147224191164472,0.009141865330507497
F_S220.1,4.588869361379362e-05,4.486323017290011e-05
