,Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
Current density (A/cm2),0.0,0.002987968680219704,0.03390482961774801,0.001349813808501728,0.00047499416417076543,0.0010428048954040587,0.0025859282214777597,0.001538886292234959
Voltage (V),0.002987968680219704,0.0,0.0025301028604876497,0.0011822858031554264,0.0014821186445961839,0.0013283917706992004,0.0018655463000280762,0.0015486016195302237
Faradaic efficiency,0.03390482961774801,0.0025301028604876497,0.0,0.0016430563669750805,0.0010355394473372688,0.0001441097020828588,0.001885548118698488,0.002356526275642864
CO conversion,0.001349813808501728,0.0011822858031554264,0.0016430563669750805,0.0,0.001688496081992953,0.0015179656221434186,0.001693622208697196,0.0013201527872243192
Crossover rate,0.00047499416417076543,0.0014821186445961839,0.0010355394473372688,0.001688496081992953,0.0,0.0014106092927103537,0.0009914928179271226,0.001792616773746414
Capture energy (MJ/kgCO2),0.0010428048954040587,0.0013283917706992004,0.0001441097020828588,0.0015179656221434186,0.0014106092927103537,0.0,0.0017651679095849028,0.0016278655559985012
Electricity price (USD/kWh),0.0025859282214777597,0.0018655463000280762,0.001885548118698488,0.001693622208697196,0.0009914928179271226,0.0017651679095849028,0.0,0.0007388243605989606
Membrane cost (USD/m2),0.001538886292234959,0.0015486016195302237,0.002356526275642864,0.0013201527872243192,0.001792616773746414,0.0016278655559985012,0.0007388243605989606,0.0
