Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
-0.2497335244177076,0.005949277020430943,-0.07901337791473317,0.016145485262806375,-0.00046568916036276997,-0.001480654064162781,-0.02186120536311091,0.0017086080318012003
-0.11074941340409396,-0.009309064099681966,0.01291271427689689,0.015075152710708766,-0.0005928495134085027,0.0015518088752414937,-0.035759602770492865,0.002511530525665789
0.030288748096923685,-0.015937373287917705,0.05902894694416266,0.0008547650851657621,0.0019759728521043674,0.0006070448845160101,-0.033638795312763196,-0.003619354887208975
0.09984643865777798,0.004354199274265119,0.046643252452979414,-0.006584139164016341,0.0,0.001656044012395144,0.02283698692848222,-0.00017154999714541486
0.012134389910988,-0.0022273485874794653,0.05298253586368011,0.014700295883241218,-0.00010464499508473779,0.0016286173363913522,0.008621465326330725,-0.0011508012369521332
0.10563393341323064,-0.0023557068652938712,0.012234995597217876,-0.01361361082194113,0.0008471990073822712,-0.00038400952674756683,-0.02578179755922988,-0.0004646758785883099
0.11955122608251117,0.01034342071624775,-0.03985440882556064,-0.0004801527964375799,-0.0003831356366501837,-0.0008615137594920599,-0.026428189879661643,-0.0006356725559738294
0.0828017165113139,-0.005404826607935491,0.053662834673465366,-0.019122538700260344,0.0005243033396772068,0.0028278214429529017,-0.006742390426359948,-0.0008525822112651396
-0.012099579522017857,0.004510916119293914,0.08084477753296591,0.013623908669803819,5.2193164625222166e-05,0.0028317687717137187,0.014889909069157863,-0.00016256968189378156
-0.1523372609733055,0.0002544127606875403,0.11109389552762043,0.0056643503900614635,-0.00022886234536974127,-0.0018687948528388005,-0.018352449453705726,0.00016407322311629002
0.07640920451010637,0.001011593878655483,0.02356802263070691,0.003785551193372891,5.6935924187123677e-05,0.0017216614940335781,0.005091459621998154,-0.0015419964066622984
0.0002804099707412258,-0.009958880034005399,0.050641416152849755,-0.0078186079045813,0.0009531343133735554,-0.0042405698232725044,0.013467268951940232,-0.0023162008346766035
-0.02755537663602112,-0.011315355192717789,-0.12553340233493201,0.00897184244474551,-0.0013218952371383413,0.001621311289436503,-0.05080234622006913,0.00046734935884162887
0.13429628458885368,0.009846977055509323,-0.11377254967452959,-0.012399528362292168,0.0001038844520591109,0.0009829419366784468,0.027440017259136515,-0.0010733120343081784
