Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.6323844955066767,0.6085299943671042
Voltage (V),0.004316042268467527,0.003799177828850868
Faradaic efficiency,0.33808387761288144,0.31148320364638415
CO conversion,0.007102724584693286,0.007511584213314709
Crossover rate,0.00024752488399660275,0.0001548415321786552
Capture energy (MJ/kgCO2),0.000410455767847867,0.0004530657422951091
Electricity price (USD/kWh),0.04440336337164078,0.042008603940396835
Membrane cost (USD/m2),0.00026910418142328264,-6.775423321049e-05
