Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.027746926928630764,0.019825192751480713
Pd_C301,0.010234653859052598,0.0032657791379099676
HX100,0.015399369809503334,0.003851896540690111
T_E110,0.13385095589596396,0.0947787243271633
L_R100,0.07898205010945782,0.06626168636610258
D_R100,0.02217145409916535,0.007782656743859065
F_S220,0.02375857311122255,0.012374812167767835
T_E120,0.019017645683996318,0.007930713331379437
P_V100,0.01737010696423736,0.004052830370004892
Pd_P150,0.5701023246914129,0.5826245327500423
HX150,0.07300563144220888,0.06381107533444978
HX220,0.02208176141395574,0.014120178583985878
T_E220,0.03898917577383368,0.029924962189257637
Rr_D200,0.04587948257456376,0.027264408592639688
Pc_D200,0.015337704470384825,0.0010652062516666844
F_S220.1,0.03871600250360398,0.01764658914272299
