Feature,Total_Effect (ST),First_Order (S1)
Pd_C103,0.00221542643245096,0.0021334524040035052
Pd_C301,6.673067004418919e-05,0.00010538772273597222
HX100,0.05814491552332887,0.05805514064790867
T_E110,0.9231751112491624,0.9230824184854381
L_R100,1.7928831071746542e-06,7.796514529485024e-06
D_R100,8.668190064454478e-06,5.754494314457876e-06
F_S220,0.001351740503891467,0.001509032687136114
T_E120,1.7163440143410625e-05,-7.867170665625295e-06
P_V100,4.372640549638169e-07,-1.2130889585988747e-05
Pd_P150,0.0014329645392789267,0.0016075879384500863
HX150,0.005746791129636944,0.0057673560634968
HX220,0.002457675153536986,0.002465032990672844
T_E220,0.0011496448968428218,0.0012574875997193626
Rr_D200,0.0007303207275486484,0.0007017375623119154
Pc_D200,0.0029206973756727606,0.0027904913942445667
F_S220.1,6.271519226054926e-07,-3.079236021883903e-06
