Feature,Total_Effect (ST),First_Order (S1)
Current density (A/cm2),0.31576783217910065,0.30738783172502354
Voltage (V),0.006232282150169173,0.0023092136945512772
Faradaic efficiency,0.6089157410028633,0.5941086717074351
CO conversion,0.013071418119666467,0.013036521131782136
Crossover rate,1.5754945897946404e-05,-1.1340085301558106e-05
Capture energy (MJ/kgCO2),0.000408018758107035,0.000393886443976264
Electricity price (USD/kWh),0.07455337023734245,0.06706125068503654
Membrane cost (USD/m2),0.0003481605984383211,0.00033746010040777393
