Feature,Global_Attribution_Score
Faradaic efficiency,0.7811467
Voltage (V),0.6069032
Membrane cost (USD/m2),0.002325391
Electricity price (USD/kWh),0.0013304921
CO conversion,0.000664044
Current density (A/cm2),0.00066200487
Capture energy (MJ/kgCO2),0.0006460058
Crossover rate,4.8368183e-05
