Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220,CO2_emission
75,64.58325,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.003971475
75,61.111,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.002568244
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,72.91675,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005438717
75,70.8335,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005196216
75,68.75025,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004939227
75,66.667,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.004675352
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,74.3055,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005591384
75,73.611,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005520745
75,72.9165,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005438644
75,72.222,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005355905
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,75.6945,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005657326
75,76.389,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005652434
75,77.0835,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005647572
75,77.778,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00564274
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
75,77.08325,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005647574
75,79.1665,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00563317
75,81.24975,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005619023
75,83.333,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.005605124
75,75,210,210,5,1.6,0.6,35,1,1.3,83,208,280,1.2,1,0.485,-0.00566225
