Feature,Global_Attribution_Score
Current density (A/cm2),0.8147782
Faradaic efficiency,0.5697267
CO conversion,0.086127706
Voltage (V),0.0044481265
Capture energy (MJ/kgCO2),0.0011476208
Membrane cost (USD/m2),4.8485224e-05
Crossover rate,2.235228e-05
Electricity price (USD/kWh),0.0
