QAgNO3(%),Qpva(%),Qtsc(%),Qseed(%),Qtot(uL/min)
-0.1447209436016662,0.006542461669121896,0.02884567197191806,0.12687246704006305,0.00727447005529883
0.09145325458038815,-0.012713395308701796,0.09190973603606678,-0.003754747505570838,-0.053457875594434455
-0.03228642187173323,-0.023285537693333535,0.33766695891041393,0.01701653609935916,0.09783739919693629
0.31056448364022765,-0.012019928673183189,0.0651884759005408,-0.01614841936400903,-0.021319083322034287
-0.11145046617375562,-0.003140285011811017,0.2096768838076966,0.058481603397295134,0.045016077652555206
0.09622837753946965,0.007918464399464142,0.10484545913906658,0.17088762153077042,-0.05334898743508575
-0.04805101941928365,-0.0028925044642006403,0.19576837626805027,0.024373310560169028,-0.0040694693381750045
-0.07450119456036527,0.002482018117266671,-0.022716655261633426,-0.08625687092186757,0.04569113817486687
-0.08356470006580759,0.019660623626253593,0.13650934917178567,0.09834750421440315,-0.033438277729085426
0.12460036820376746,-0.023766225123753586,-0.005617236998531547,-0.10020706113811682,0.03329789413883113
0.03698587104441394,-0.005975380064460856,-0.014891061868993853,0.09606135249127347,0.025124137766111634
0.2251263322241949,-0.004338723787572366,0.08157420696014475,0.040319276488416475,-0.0011655464130426174
-0.00706100853870234,-0.0052515357942176655,0.11252637903333731,-0.013532253770025926,0.03441825614630607
0.07674293912916196,0.01413705284516185,0.10473643300581933,0.10486957138542594,0.005635598726828228
0.24139041255997395,0.010349493426926499,0.02837508708580538,0.023222667669939866,0.0036051128672319743
0.17861346341977055,-0.006020238225614372,0.022707882292682037,0.11537063733483606,0.004602756957598648
0.2076819446143865,-0.0055188124131411165,0.1482365778306405,-0.08020669221424997,0.01760535611869788
-0.08141536248591706,-0.019539154225290414,0.16352363162008254,-0.062400514805570934,-0.06597657143291083
0.17373272692839492,0.0006516854874872857,0.1184402116570035,0.07679160961669836,-0.009904814633379486
0.0442755864990408,-0.004066602661003893,0.08931583646944243,0.15398874064237042,-0.004524648049844239
0.22065897949318083,-0.00851705705729508,0.10842227472946836,-0.1015469998078549,0.02071906349012035
-0.08681749831171286,0.009775925431069286,-0.0397997006467297,0.11797317650850006,0.022182595064130634
-0.022512104618669707,0.017290349419282394,0.030105293248886382,-0.1266151081835853,-0.0048636047336886035
0.10822538148208115,-0.00683666504215924,0.17262505380648965,0.016903807776157895,0.006150013524133804
0.20242123507109316,-0.006638966722870952,0.04150022932891304,0.019411168553711076,-0.0037249564088513987
0.008596872577988718,0.010608454428722736,0.10794639949146045,-0.12422860383951564,-0.09312923638702549
0.12006728095818518,0.004520660530361334,0.0839345390201238,0.0527538402327187,-0.007326989873122802
-0.10658316996371033,-0.008000573320040422,0.15376922791341632,-0.10323282243486562,-0.022860281612163698
0.09341506510184114,-0.0008425126208986833,0.11544164405201693,0.12017448817626111,-0.010859474294232131
-0.024081925941141197,-0.011775906960067063,-0.0442945450719453,-0.09840126082355302,-0.0022067498465652424
0.09684707198656084,-0.009079498025240551,0.1198778522423069,0.10918198866146522,-0.052598731923127445
-0.007311044215536439,-0.0054957619712830575,-0.0011814981256074442,0.13771005501512143,0.009476779804449881
0.2764912860272313,0.0002129189524389674,-0.01339391086097902,0.10585766365269256,0.004901015299379704
-0.043847483990694734,0.03760853203409681,0.04081313886183945,-0.11241136867726582,-0.025414083083190236
0.04745322751500192,0.01102803982149638,0.024265479959484967,0.002941653561549906,0.014895215907443901
-0.0765476052618075,0.00023412345151854752,0.19002001054935744,0.01411561071350387,0.01987942367308495
0.34273674053754966,0.0015778095044581275,-0.00716256357159025,0.055840427892665925,0.018828550622564683
-0.0414798241409487,-0.004502569284745538,0.06643145948163186,0.023682183876890143,-0.020361717377065346
-0.07076553488495085,-0.012828554291793803,0.20179133425564885,-0.038930772713084164,0.04357095870921818
-0.07369714803482838,0.019752358101956323,-0.04652762199140714,0.08441524565627329,0.003693441747418154
0.20309924113283623,-0.021122894778255703,-0.04192154283013003,0.10040276599078435,0.002297613424077277
-0.15707081174080292,0.00021962708362112393,0.034184275318735184,0.03340385856711142,0.0030471185724407924
-0.15286536843263804,-0.0013408762781010278,-0.002659070662368498,0.1271606076619691,0.020442137352200726
0.14045689776143383,-0.0032860374500162104,-0.02166515838666439,0.05171948619781631,0.005657361215738395
-0.18107316043356692,0.00801329388592733,-0.027539697592988768,0.017442021897888797,0.00552261699362494
-0.030714426407895293,0.051783720339669354,0.09385942226149654,0.07073076641784977,-0.02991060619233496
-0.1386161622472959,-0.007151786715824269,-0.0030953032161926478,0.10171982360857898,0.009986688697582841
0.30867589426765907,-0.0006939194000568638,0.005178086094128896,0.08721314545098896,0.011794232450328138
