Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Current density (A/cm2),-0.00950910557466306,0.00950910557466306,0.12372040495049859
Voltage (V),0.000773794591870222,0.000773794591870222,0.009321554462226645
Faradaic efficiency,-0.0021257630599821843,0.0021257630599821843,0.08243180743554382
CO conversion,-0.002073950076368955,0.002073950076368955,0.016058987046182298
Crossover rate,-1.7081124039212246e-05,1.7081124039212246e-05,2.9663383484224976e-05
Capture energy (MJ/kgCO2),1.4872459473303844e-05,1.4872459473303844e-05,6.3728522651125e-05
Electricity price (USD/kWh),9.006797395289583e-05,9.006797395289583e-05,0.029489852737282836
Membrane cost (USD/m2),2.048541890196092e-05,2.048541890196092e-05,0.00037683384570302706
