Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
-0.4032730768822961,-0.001455556049456596,0.09612537037315802,0.016149562387872667,0.0,-4.412684667232103e-05,-0.02024107025934164,-6.686556369894335e-05
0.112500811275467,-0.0014555575550204076,0.09612536868705333,0.016149548782363587,0.0,-4.4131642555900186e-05,-0.02024107669575968,-6.686309165620235e-05
-0.403273081850499,0.017922403592696177,0.09612536564309361,0.016149559480636632,0.0,-4.4126905287933393e-05,-0.020241070371529002,-6.68655759076477e-05
-0.403273087255202,-0.001455566968073359,0.11613985839802633,0.016149559760576835,0.0,-4.412659008345976e-05,-0.020241069815601375,-6.686551488370074e-05
-0.40327308062987954,-0.0014555625793523984,0.09612536739851692,-0.012091168068998882,0.0,-4.4125421590324176e-05,-0.020241068512302153,-6.686532605323333e-05
-0.4032704492412211,-0.0014529243106244831,0.09612799755099713,0.016152196197171946,0.0,-4.149402721509432e-05,-0.020238437414945177,-6.423375936247246e-05
-0.4032730640969002,-0.0014555561772916625,0.09612536979562714,0.016149562264694228,0.0,-4.136773713281361e-05,-0.020241069713187513,-6.686556026193559e-05
-0.40327308109886184,-0.0014555559533161455,0.09612537328074573,0.016149563787272243,0.0,-4.41261900422929e-05,-0.03631468562130299,-6.686540383152031e-05
-0.40327306418617564,-0.0014555560648429847,0.09612536989987136,0.016149562292007272,0.0,-4.412680594378937e-05,-0.02024107006672587,-0.0002335622977395453
0.11250341981421319,0.017925018918792335,0.11614248728073912,-0.01208854654849007,0.0,-3.8750427727551884e-05,-0.036312054282428056,-0.00023094268472140025
0.051495743680113414,-0.009509990808021685,-0.04602227873202144,-0.0034515356561279904,0.0,0.00022434776454852146,0.03994655524336145,-0.00023904087670541192
-0.10003106602812087,-0.009509992713859437,-0.04602230384142837,-0.003451552154570738,0.0,0.0002243355681508935,0.03994655209054949,-0.0002390406489273608
0.051495739013886384,-0.006486050929243659,-0.046022291250295604,-0.003451536974638427,0.0,0.00022434798039209364,0.03994655609150641,-0.00023904087307045506
0.05149043616362006,-0.009515294225032661,0.0018155453136811447,-0.0034568512544501232,3.720406819848754e-05,0.00021903338027187192,0.0399412411584385,-0.0002443557444937646
0.05149042905652008,-0.009515305586613784,-0.046027594298357066,0.01315472590249208,3.720356256794316e-05,0.00021903317527006315,0.03994124053849916,-0.0002443556549093679
0.05149042418265407,-0.009515305634898325,-0.04602759466251529,-0.003456850204273083,-0.00010435234500275059,0.00021903320259989,0.039941240675037695,-0.00024435562979692156
0.05149573781510154,-0.009509990671103034,-0.04602227990383269,-0.003451535203335739,0.0,-4.5357901954611035e-05,0.03994655624275135,-0.0002390407800886315
0.05149574622276657,-0.009509990849123587,-0.04602227894902115,-0.0034515356109715164,0.0,0.00022434788526412217,0.023989972145871615,-0.00023904086852470633
0.051490428809719616,-0.00951530557946258,-0.0460275935042383,-0.0034568504345536743,3.720336909675964e-05,0.00021903300912877688,0.03994124044215162,0.00023623675412860501
