Feature,S1,S1_conf,S1_CI_lower,S1_CI_upper,ST,ST_conf,ST_CI_lower,ST_CI_upper,S2_sum
Current density (A/cm2),0.6932852464397828,0.06433225250089614,0.6289529939388867,0.757617498940679,0.690665405526332,0.05009877793764807,0.640566627588684,0.7407641834639801,0.0
Voltage (V),0.004442591011560349,0.006218923021680487,-0.0017763320101201376,0.010661514033240836,0.00431859745617832,0.0004798685732606802,0.00383872888291764,0.004798466029439,0.0
Faradaic efficiency,0.26219958555791634,0.04126751761234071,0.22093206794557563,0.30346710317025705,0.262104370901179,0.02277015921635953,0.23933421168481947,0.28487453011753855,0.0
CO conversion,0.01572518968767944,0.010561603562816132,0.00516358612486331,0.02628679325049557,0.015291984239543617,0.0024516592699721745,0.012840324969571442,0.01774364350951579,0.0
Crossover rate,-4.6707853962122875e-07,2.7406817485516016e-05,-2.7873896025137244e-05,2.6939738945894787e-05,8.60297182202254e-08,9.48594882894704e-09,7.654376939127836e-08,9.551566704917244e-08,0.0
Capture energy (MJ/kgCO2),-1.8248285888084115e-06,4.6237195299951326e-05,-4.806202388875974e-05,4.441236671114291e-05,2.6878939957605763e-07,2.881044705361496e-08,2.399789525224427e-07,2.975998466296726e-07,0.0
Electricity price (USD/kWh),0.03249035048693584,0.01479545488424281,0.01769489560269303,0.04728580537117865,0.032275045685492366,0.00311650568486532,0.029158540000627047,0.03539155137035769,0.0
Membrane cost (USD/m2),-1.1382050670859776e-05,0.0002724084561970468,-0.00028379050686790655,0.00026102640552618704,9.902032361686948e-06,1.353083972712599e-06,8.54894838897435e-06,1.1255116334399546e-05,0.0
