Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Current density (A/cm2),0.6263409423185277,0.4658315473288652,0.84053760678627,0.37524274055468915,0.21258988981785934,0.5730592483824121,0.0034308919423793214
Voltage (V),0.00011924073311897113,-0.03470893468106888,0.033619094956535533,0.9980593021115682,0.9637314927696119,1.0326225195263865,0.0034309772689751043
Faradaic efficiency,0.3163844539377366,0.15636309339810267,0.48994370690914263,0.6795507492399324,0.537790739475656,0.8252943635134411,0.0034299801712822497
CO conversion,0.008578330635225992,-0.03355563365472993,0.05006216657851365,0.9916750318184947,0.949418631404687,1.0343936044765232,0.003430445129730651
Crossover rate,-0.001169885296228,-0.03212311211631914,0.03366360222084533,1.0011732277343977,0.9663380036181458,1.03201826284061,0.003429569312706448
Capture energy (MJ/kgCO2),-0.0011588356473918172,-0.032033089795832116,0.033622481195437724,1.0011771734883446,0.9662666606097395,1.0320867975465062,0.0034304673775678446
Electricity price (USD/kWh),0.042241309045038894,-0.013623833228440565,0.10109602161147506,0.9583405859646236,0.9006047309235861,1.0156210165240604,0.003430421471879731
Membrane cost (USD/m2),-0.001234449699452722,-0.031996297916926125,0.03366339647731662,1.001121274502881,0.9670646096877628,1.0321611842706602,0.0034308774440924223
