S1_Current density (A/cm2),S1_Voltage (V),S1_Faradaic efficiency,S1_CO conversion,S1_Crossover rate,S1_Capture energy (MJ/kgCO2),S1_Electricity price (USD/kWh),S1_Membrane cost (USD/m2),ST_Current density (A/cm2),ST_Voltage (V),ST_Faradaic efficiency,ST_CO conversion,ST_Crossover rate,ST_Capture energy (MJ/kgCO2),ST_Electricity price (USD/kWh),ST_Membrane cost (USD/m2)
0.5236925687052946,-0.010754577246778613,0.2935195196816857,0.005540273777794243,-0.01276502190096193,-0.01281548011973359,0.07472637581042277,-0.013693768490227791,0.26477238682987847,1.0077570436878747,0.7015276907820085,1.0146225150794936,1.012927434292633,1.0128564774224855,1.000576208428933,1.0120838359475446
0.6163677784147045,-0.001021380472834803,0.30275409175957557,0.017723207186945304,0.0018723984472496134,0.001875567975091984,0.04466894813885951,0.0023351495122357303,0.3523664141842301,0.9918725383558319,0.6634016899395905,0.9950642528930992,0.9982036702209672,0.9982052549848884,0.9628222309165836,0.9987551680655398
0.6042274414315155,0.0014553298214377707,0.2405526538271246,0.007597390005402327,0.007045239805889205,0.007048497329190167,0.05002663100043725,0.006950771630161296,0.3493202762967611,0.9832668858970487,0.5884290016340012,0.9735643527451323,0.9929010110596449,0.992891238489742,0.9527552938985846,0.9926697269052766
0.5741576877212052,-0.006291398245852334,0.31761523043817486,-0.0035941923065404497,0.005534208225399772,0.0056096106046001045,0.06190848285794817,0.0051006445449978625,0.3269756552010591,0.979215660581333,0.6512545831323879,0.969000209082588,0.9944186652876,0.9944924967839004,0.9726540827080041,0.9941469025458988
0.6424014810130029,0.012367316912844291,0.29752278418950184,0.039568622655504176,0.0193276118213894,0.01906599671470001,0.050108212144742335,0.01998248275724246,0.4085618083053939,0.9654787159315159,0.6018203869271905,0.983065249918776,0.9807190456498673,0.9805257504118038,0.9285476610935737,0.9812989313640578
0.6390793945117016,-0.019163034531694833,0.33460482726168383,0.005369293120346897,-0.006228349451699575,-0.006105745801652226,0.042354175282603095,-0.006826456447200828,0.3917570802812883,0.9894763831594193,0.6944605218299463,1.0011055050470186,1.0063244442044394,1.0064288229875877,0.9754763717688775,1.0057594733305726
0.6636695382875838,0.015793323892284716,0.3169281338597176,0.022315299827838666,0.007370462363126503,0.007401410800383128,0.045702545203134284,0.007018627497472244,0.4145648533669257,0.9963775562751627,0.6528808511638857,0.9855113970678498,0.9926295376368734,0.9926523417485362,0.9561462167066693,0.9921311049105299
0.646419994565924,0.01906623853014473,0.3093947432400315,0.05496270017820932,0.018732192776958628,0.018800268451778544,0.0178535416252132,0.018436142749253412,0.3666172887397041,0.9801390175452135,0.6538301439601584,0.9997669760665465,0.9811031590792909,0.981180733685481,0.8965690025052387,0.9809385109355404
0.6197432787131683,0.003607476357080029,0.21886393915767005,0.0031421875182664873,0.007540696541237407,0.007555186505075891,0.03077454855825547,0.0072380172966112965,0.3615405179954566,0.9854638709167389,0.561122059914771,0.9660279994213857,0.9924512534788523,0.9924238835471574,0.9416011403816659,0.9919875746360208
0.4847682423988022,-0.024527487158146215,0.405575409659906,-0.026384332022559524,-0.02409048832367653,-0.024133707988624083,0.02077472534854433,-0.02429538155009455,0.2632835211536142,1.0162389158582048,0.7933503015386894,1.001841965245676,1.024055272300386,1.0239880417104674,0.9781255742877902,1.023711115709137
