,Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
Current density (A/cm2),0.0,0.0004901947230507666,0.0004900445322372536,0.0004900634173885935,0.0004900809101094867,0.000490074114899365,0.0004902438545169798,0.0004901903901768761
Voltage (V),0.0004901947230507666,0.0,0.0004900715266797377,0.0004901997645592846,0.000490054745375581,0.0004901674764164031,0.0004900936905645372,0.0004901953423287937
Faradaic efficiency,0.0004900445322372536,0.0004900715266797377,0.0,0.0004900288228589716,0.0004896573141836522,0.0004900067787460529,0.000490013823418458,0.0004901573731581235
CO conversion,0.0004900634173885935,0.0004901997645592846,0.0004900288228589716,0.0,0.0004899944855760783,0.0004901106352156295,0.0004899801047964592,0.0004900678993356341
Crossover rate,0.0004900809101094867,0.000490054745375581,0.0004896573141836522,0.0004899944855760783,0.0,0.0004899886582713209,0.0004898619189921205,0.0004899312801982083
Capture energy (MJ/kgCO2),0.000490074114899365,0.0004901674764164031,0.0004900067787460529,0.0004901106352156295,0.0004899886582713209,0.0,0.0004900063173577311,0.0004901133966613421
Electricity price (USD/kWh),0.0004902438545169798,0.0004900936905645372,0.000490013823418458,0.0004899801047964592,0.0004898619189921205,0.0004900063173577311,0.0,0.0004902217622334449
Membrane cost (USD/m2),0.0004901903901768761,0.0004901953423287937,0.0004901573731581235,0.0004900678993356341,0.0004899312801982083,0.0004901133966613421,0.0004902217622334449,0.0
