Pd_C103,Pd_C301,HX100,T_E110,L_R100,D_R100,F_S220,T_E120,P_V100,Pd_P150,HX150,HX220,T_E220,Rr_D200,Pc_D200,F_S220.1,Y
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.96514094
0.908203125,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.96514094
0.005859375,0.173828125,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.9251914
0.005859375,0.498046875,0.361328125,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.9866643
0.005859375,0.498046875,0.677734375,0.376953125,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.97037613
0.005859375,0.498046875,0.677734375,0.294921875,0.970703125,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.9689677
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.724609375,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.96514094
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.173828125,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.9782566
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.923828125,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.96511674
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.103515625,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.92453945
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.841796875,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.9665352
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.978515625,0.998046875,0.236328125,0.322265625,0.513671875,0.126953125,0.57816374
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.513671875,0.236328125,0.322265625,0.513671875,0.126953125,0.96264744
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.755859375,0.322265625,0.513671875,0.126953125,0.9651295
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.908203125,0.513671875,0.126953125,1.1185098
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.396484375,0.126953125,0.96915525
0.005859375,0.498046875,0.677734375,0.294921875,0.779296875,0.107421875,0.365234375,0.357421875,0.287109375,0.408203125,0.455078125,0.998046875,0.236328125,0.322265625,0.513671875,0.115234375,0.96514094
0.908203125,0.173828125,0.361328125,0.376953125,0.970703125,0.724609375,0.173828125,0.923828125,0.103515625,0.841796875,0.978515625,0.513671875,0.755859375,0.908203125,0.396484375,0.115234375,0.69756246
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.84708107
0.408203125,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.84708107
0.505859375,0.673828125,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.7718054
0.505859375,0.998046875,0.861328125,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.79996586
0.505859375,0.998046875,0.177734375,0.876953125,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.8653252
0.505859375,0.998046875,0.177734375,0.794921875,0.470703125,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.8493829
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.224609375,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.84708107
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.673828125,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.8824986
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.423828125,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.8472142
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.603515625,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.86296403
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.341796875,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,0.8418187
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.478515625,0.498046875,0.736328125,0.822265625,0.013671875,0.626953125,1.2080874
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.013671875,0.736328125,0.822265625,0.013671875,0.626953125,0.8290217
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.255859375,0.822265625,0.013671875,0.626953125,0.84709585
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.408203125,0.013671875,0.626953125,0.7393323
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.896484375,0.626953125,0.815929
0.505859375,0.998046875,0.177734375,0.794921875,0.279296875,0.607421875,0.865234375,0.857421875,0.787109375,0.908203125,0.955078125,0.498046875,0.736328125,0.822265625,0.013671875,0.615234375,0.84708107
0.408203125,0.673828125,0.861328125,0.876953125,0.470703125,0.224609375,0.673828125,0.423828125,0.603515625,0.341796875,0.478515625,0.013671875,0.255859375,0.408203125,0.896484375,0.615234375,0.9954682
0.755859375,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.74461544
0.158203125,0.248046875,0.927734375,0.044921875,0.029296875,0.857421875,0.115234375,0.607421875,0.537109375,0.658203125,0.705078125,0.248046875,0.486328125,0.072265625,0.263671875,0.376953125,0.74461544
