S1_Pd_C103,S1_Pd_C301,S1_HX100,S1_T_E110,S1_L_R100,S1_D_R100,S1_F_S220,S1_T_E120,S1_P_V100,S1_Pd_P150,S1_HX150,S1_HX220,S1_T_E220,S1_Rr_D200,S1_Pc_D200,S1_F_S220.1,ST_Pd_C103,ST_Pd_C301,ST_HX100,ST_T_E110,ST_L_R100,ST_D_R100,ST_F_S220,ST_T_E120,ST_P_V100,ST_Pd_P150,ST_HX150,ST_HX220,ST_T_E220,ST_Rr_D200,ST_Pc_D200,ST_F_S220.1
0.007314063535712196,0.018929545028905377,0.007672532396626278,0.05063495722720544,0.0069811509148822925,0.007314063535712196,0.010149783935452681,0.007304863289281892,0.007314063535712196,0.7710714986978273,0.1398517913610738,0.008740783232144955,0.007303500289810735,0.026937166921948082,0.008889009424633191,0.007314063535712196,0.9926859364642878,0.9864917853676184,0.9908711026684434,1.0072284593217888,0.9922644288778327,0.9926859364642878,0.9827840860562058,0.9927401156932663,0.9926859364642878,0.1298687664873498,0.8492513686169001,0.9951274092669964,0.9926913884621724,0.992769760931764,0.9914623036890573,0.9926859364642878
-0.01056177850242907,-0.001369213780131567,-0.006794227058271078,-0.032409047169185475,-0.0123348851890093,-0.01056177850242907,0.0003170734770496309,-0.010601585039228626,-0.01056177850242907,0.7404358942735974,0.1316487900129853,-0.01104872225862364,-0.010518540367629552,-0.0009807568865358982,-0.011788917947215387,-0.01056177850242907,1.010561778502429,0.9906101245708515,1.0091561959616446,0.9715753936248638,1.009390917264842,1.010561778502429,1.0054864450604857,1.0106225177870285,1.010561778502429,0.12884458627366024,0.8472008988740505,1.0126162762250062,1.0105511405486292,1.0058821083098812,1.0049768527574914,1.010561778502429
-0.025824363823010125,-0.014286590823128414,-0.027555283573542314,-0.03302323513570736,-0.026238783863826692,-0.025824363823010125,-0.01663098276006623,-0.025871135638640342,-0.025824363823010125,0.7488869493818245,0.1561774608216578,-0.026512888457752612,-0.02582690182850944,-0.02379649742905819,-0.0260052873578898,-0.025824363823010125,1.0258243638230102,1.0165345385510922,1.0232272590527836,1.0103026473336336,1.025182611003898,1.0258243638230102,1.0202672194961548,1.0258693227775695,1.0258243638230102,0.09711956694729484,0.9273867328154718,1.025609721072211,1.0257536622412435,1.004734625840353,1.025466867619821,1.0258243638230102
0.03331688722135663,0.0387813621799662,0.03469392192003286,0.023859516837995365,0.032022128180777404,0.03331688722135663,0.028438806755763008,0.033258789059279356,0.03331688722135663,0.9586535317890702,0.1774782745332954,0.03368532339204542,0.03333204326363765,0.03934790947475699,0.033154140195910356,0.03331688722135663,0.9666831127786434,0.9585923122076214,0.9651195144166507,0.9623261114809974,0.9658271572479149,0.9666831127786434,0.9590462717597532,0.9666852779275407,0.9666831127786434,0.24590468401276377,0.8553702819619348,0.969023277878464,0.96665388326853,0.9541580872659722,0.9650271347303663,0.9666831127786434
-0.01676887023262805,-0.012161219156234785,-0.01935776854513566,-0.002479682873759795,-0.01728945276892975,-0.01676887023262805,-0.012514996520037977,-0.01675964125792014,-0.01676887023262805,0.7105020236747532,0.04101818399400737,-0.019375201052917266,-0.016819800500460586,0.001826488362175098,-0.015212933459650146,-0.01676887023262805,1.016768870232628,0.9970773145308521,1.0117342936225244,1.012322213492806,1.0167305870782841,1.016768870232628,0.9982794739400268,1.0168854287650502,1.016768870232628,0.09391993701237811,0.7779513753438136,1.0154860427482286,1.0166929875516963,1.015043051962249,1.0181713325743522,1.016768870232628
-0.005564554516771209,0.004540290174015384,-0.0033708450888428306,0.00931854441407344,-0.00467022690721357,-0.005564554516771209,0.003081584602943182,-0.00565351331690658,-0.005564554516771209,0.9210266618407834,0.1062701469075084,-0.005773097277744291,-0.0055353876970546945,-0.006799040161272703,-0.005098614571799883,-0.005564554516771209,1.0055645545167713,0.9935970438018387,1.0060458070420937,1.0084002985637093,1.006094661465119,1.0055645545167713,1.0006291640354905,1.0056072109906067,1.0055645545167713,0.2674183374213872,0.8344592295760687,1.0066677894725484,1.0055266376511398,0.9884819127940548,1.0068285715662357,1.0055645545167713
-0.018679465619309794,-0.010093137484206075,-0.016733832209868092,-0.010936199767096836,-0.019017510034077655,-0.018679465619309794,-0.01089215155547557,-0.018706440880690258,-0.018679465619309794,0.6865706458457141,0.11227859920275549,-0.02051310047517184,-0.018624149260529597,-8.121800399545934e-05,-0.014811759471758699,-0.018679465619309794,1.0186794656193099,0.9999500977461461,1.0173665557457923,1.01358455580845,1.0180696198367083,1.0186794656193099,1.0150664878893514,1.0187620986984753,1.0186794656193099,0.06349741120218333,0.8464028124604768,1.0183106898941086,1.0186972214875603,1.0176516740148136,1.0220261053255117,1.0186794656193099
0.05049612823352163,0.07260389449418676,0.05162717370039527,0.054446442134150314,0.050716300349522146,0.05049612823352163,0.05302597686963083,0.05046629846296671,0.05049612823352163,1.0438505702725462,0.19347732082952399,0.0481765084565613,0.05050926753721843,0.045461289103432306,0.052717025674597844,0.05049612823352163,0.9495038717664783,0.9566417097206887,0.9502446444019252,0.931253734047932,0.9492151622014648,0.9495038717664783,0.9423344284601324,0.9495393833980914,0.9495038717664783,0.36672568141259165,0.8381635429376475,0.9476615283183966,0.9494882466485687,0.9248325208196717,0.9500674413601765,0.9495038717664783
-0.009484377372142885,-0.007481785690829418,-0.007525615211733621,-0.011006931443553176,-0.009484029518802376,-0.009484377372142885,-0.0008983133683457177,-0.009550121653499189,-0.009484377372142885,0.8010379078955985,0.1810206352379755,-0.009115304977862254,-0.009484029518802376,0.01073285877827203,-0.007112365443208279,-0.009484377372142885,1.009484377372143,0.9953514440005805,1.0108810085342887,0.9972322870127156,1.0095911683476793,1.009484377372143,1.005863571950779,1.0094986393591037,1.009484377372143,0.16268377151597968,0.8939407160818105,1.0097223090570515,1.0094822902521,1.0128182037875864,1.0127183698788602,1.009484377372143
-0.04512379436209721,-0.032375333945348,-0.04570157396159976,-0.025414938118402234,-0.04551092038522363,-0.04512379436209721,-0.042264675289440314,-0.04516760703314954,-0.04512379436209721,0.7844523599755668,0.1340217678464619,-0.04519122480113868,-0.04508580056141902,-0.0473822006402476,-0.045754286081459594,-0.04512379436209721,1.0451237943620972,1.0250367115440833,1.0399169322367223,1.0525295049159107,1.0450652633718633,1.0451237943620972,1.0400651422880165,1.0451648687412087,1.0451237943620972,0.16425806282783306,0.9134735635797082,1.0482095070928528,1.0450926462912709,1.0313183532562107,1.041214540330155,1.0451237943620972
