Feature,Mean_SHAP,Abs_Mean_SHAP,Mean_Abs_SHAP
Pd_C103,0.0,0.0,0.0
Pd_C301,0.00011806092991015317,0.00011806092991015317,0.00011806092991015317
HX100,-9.574281370779207e-05,9.574281370779207e-05,9.574281370779207e-05
T_E110,-0.00018131130171361736,0.00018131130171361736,0.00018131130171361736
L_R100,-4.275033193351144e-05,4.275033193351144e-05,4.275033193351144e-05
D_R100,0.0,0.0,0.0
F_S220,-0.0004864772107624302,0.0004864772107624302,0.0004864772107624302
T_E120,-3.0340060935178586e-06,3.0340060935178586e-06,3.0340060935178586e-06
P_V100,0.0,0.0,0.0
Pd_P150,-0.024031729612059523,0.024031729612059523,0.024031729612059523
HX150,-0.007888740724305517,0.007888740724305517,0.007888740724305517
HX220,7.286242921205181e-05,7.286242921205181e-05,7.286242921205181e-05
T_E220,7.863579326551131e-06,7.863579326551131e-06,7.863579326551131e-06
Rr_D200,0.00206191638093595,0.00206191638093595,0.00206191638093595
Pc_D200,0.00022368697405004224,0.00022368697405004224,0.00022368697405004224
F_S220.1,0.0,0.0,0.0
