Feature,Inflection_Point,Type
Pd_P150,1.5930260253250597,Primary (f1)
HX150,81.5192955449149,Secondary (f2)
HX150,81.60574139806627,Secondary (f2)
HX150,81.64896432464197,Secondary (f2)
