Feature,S1,S1_CI_lower,S1_CI_upper,ST,ST_CI_lower,ST_CI_upper,S2_sum
Pd_C103,-0.0019144179845862622,-0.06474116991146665,0.06683630051623023,1.0019144179845865,0.9331636994837698,1.0647411699114666,-0.042299947316741665
Pd_C301,0.009185878765626179,-0.050389256072450275,0.08025894943693519,0.9920686034249689,0.9206856938020416,1.0567029644092711,-0.04229938235881427
HX100,-0.0008802872186463559,-0.06392513136075408,0.06919279851427175,1.0009306046762554,0.933355981446603,1.0621179203383748,-0.042299781650395205
T_E110,0.004204924750586896,-0.06475132921110137,0.07804350270713,0.9956636135498216,0.925087399731041,1.0637506660744076,-0.0422998403863315
L_R100,-0.0019092581840885361,-0.0648826455421973,0.06718728146766025,1.001814495978813,0.9336384379625543,1.0648242136972812,-0.04229969267765354
D_R100,-0.0019144179845862622,-0.06474116991146665,0.06683630051623023,1.0019144179845865,0.9331636994837698,1.0647411699114666,-0.042299947316741665
F_S220,0.005322628589019187,-0.057727431560439746,0.0740466445613995,0.9933882990566154,0.9231145282016999,1.056237308368482,-0.042299900424476344
T_E120,-0.001955146655137631,-0.06476591587965512,0.06682042326058175,1.0019613966347667,0.9332563903562036,1.064809015364495,-0.0422996987084546
P_V100,-0.0019144179845862622,-0.06474116991146665,0.06683630051623023,1.0019144179845865,0.9331636994837698,1.0647411699114666,-0.042299947316741665
Pd_P150,0.8066147992716344,0.6184745140891302,0.9884229245503986,0.15554706231066132,-0.034053725230142426,0.34573878218543413,-0.042299578146138855
HX150,0.13925106366059223,0.039956494624876736,0.2414464402270301,0.859972292446513,0.7534968405729756,0.9510243909137815,-0.04229974737389521
HX220,-0.0025100836778063173,-0.06732039921982719,0.06619193476194056,1.002456360413323,0.9335399538297187,1.064254058115625,-0.04229986708948897
T_E220,-0.0018996519373766926,-0.06473615221476142,0.06684685773702001,1.0018947389322868,0.9331346282430508,1.0646982235298788,-0.04229972218211178
Rr_D200,0.006267426835913954,-0.05823365353188733,0.07898341182584571,0.9951886848276915,0.9247924714517763,1.0601802940402798,-0.042299701973664866
Pc_D200,-0.0014304706131795695,-0.06450999193191638,0.06777849996055106,1.001492916174495,0.9317741306727196,1.0657686359102212,-0.042299680382537806
F_S220.1,-0.0019144179845862622,-0.06474116991146665,0.06683630051623023,1.0019144179845865,0.9331636994837698,1.0647411699114666,-0.042299947316741665
