Feature,Global_Attribution_Score
Pd_P150,0.9141339
HX150,0.23995757
T_E110,0.13497142
Rr_D200,0.099841684
Pd_C301,0.08090973
L_R100,0.030190144
Pc_D200,0.023865204
T_E120,0.017466897
D_R100,0.01586527
F_S220,0.0018488505
HX220,0.0004424941
HX100,0.00029893164
Pd_C103,7.042403e-05
T_E220,5.9075455e-06
P_V100,0.0
F_S220.1,0.0
